,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Yale,L,57,70,20,50,.400,7,21,.333,10,13,.769,4,23,14,6,7,15,26,,22,58,.379,5,21,.238,21,27,.778,16,42,14,7,1,14,17
2,2,2015-11-15,@,UNC,L,65,92,23,65,.354,10,35,.286,9,15,.600,11,33,14,7,2,19,24,,33,66,.500,8,23,.348,18,32,.563,13,42,22,8,3,10,20
3,3,2015-11-18,@,Northwestern,L,72,79,24,59,.407,7,25,.280,17,21,.810,11,35,16,4,3,14,22,,27,61,.443,7,26,.269,18,23,.783,8,28,17,5,2,7,22
4,4,2015-11-21,,Sacred Heart,W (1 OT),83,79,31,68,.456,7,23,.304,14,18,.778,13,48,19,5,8,18,19,,29,78,.372,10,32,.313,11,21,.524,10,33,11,8,2,11,17
5,5,2015-11-24,@,Maryland-Eastern Shore,W,113,74,41,72,.569,17,41,.415,14,20,.700,5,38,26,12,1,15,25,,22,65,.338,4,27,.148,26,34,.765,9,36,10,3,3,20,18
6,6,2015-11-27,,Columbia,W (1 OT),82,81,28,60,.467,11,29,.379,15,19,.789,5,34,13,2,3,12,17,,27,69,.391,15,41,.366,12,19,.632,11,36,14,7,0,12,19
7,7,2015-12-01,@,Iona,L,77,101,28,61,.459,11,29,.379,10,16,.625,6,35,18,3,3,18,16,,37,78,.474,19,40,.475,8,16,.500,14,40,27,9,2,10,17
8,8,2015-12-04,,Rider,W,74,70,32,63,.508,5,15,.333,5,7,.714,7,33,19,7,2,9,16,,23,57,.404,11,30,.367,13,16,.813,5,29,12,4,2,12,15
9,9,2015-12-18,,Wagner,L,64,76,25,59,.424,6,23,.261,8,13,.615,9,30,10,4,1,13,15,,26,61,.426,13,23,.565,11,12,.917,12,40,16,8,1,12,18
10,10,2015-12-22,,Loyola (MD),W (1 OT),94,88,32,60,.533,11,23,.478,19,22,.864,5,29,17,6,1,12,20,,33,68,.485,4,19,.211,18,26,.692,11,33,7,7,6,11,25
11,11,2015-12-27,@,Bucknell,W,101,91,31,64,.484,17,32,.531,22,30,.733,5,23,24,14,9,13,29,,30,65,.462,5,11,.455,26,38,.684,18,46,16,4,0,23,26
12,12,2016-01-02,@,Manhattan,L,66,72,24,61,.393,7,22,.318,11,21,.524,8,36,11,7,5,18,19,,26,61,.426,3,15,.200,17,22,.773,10,40,12,10,3,18,25
13,13,2016-01-04,,Dartmouth,W,97,85,33,59,.559,12,30,.400,19,28,.679,7,27,19,8,3,11,22,,30,64,.469,7,18,.389,18,23,.783,15,36,18,2,1,15,21
14,14,2016-01-07,@,Siena,L,76,91,21,62,.339,9,25,.360,25,31,.806,7,25,12,8,2,7,19,,37,67,.552,3,11,.273,14,22,.636,11,46,14,4,4,13,21
15,15,2016-01-09,@,Rider,W,69,64,24,62,.387,7,20,.350,14,18,.778,6,31,12,8,6,8,15,,27,68,.397,4,19,.211,6,12,.500,15,49,11,4,5,14,15
16,16,2016-01-11,,Monmouth,L,74,86,28,56,.500,12,29,.414,6,11,.545,7,31,17,6,1,17,14,,33,62,.532,12,24,.500,8,12,.667,5,24,17,7,1,10,17
17,17,2016-01-15,,Niagara,W,73,68,24,63,.381,8,23,.348,17,23,.739,10,36,12,7,5,9,13,,25,62,.403,9,22,.409,9,15,.600,9,38,9,6,4,12,19
18,18,2016-01-19,,St. Peter's,L,71,77,23,65,.354,9,30,.300,16,20,.800,12,28,11,6,2,8,22,,28,50,.560,4,12,.333,17,23,.739,8,33,9,2,3,13,19
19,19,2016-01-22,@,Marist,W,88,76,31,50,.620,6,16,.375,20,26,.769,6,30,19,10,4,15,19,,23,58,.397,12,32,.375,18,26,.692,11,29,16,5,2,14,21
20,20,2016-01-24,,Iona,W,98,91,35,64,.547,11,24,.458,17,22,.773,4,32,21,7,4,14,23,,30,65,.462,9,26,.346,22,37,.595,15,42,15,9,2,15,22
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-29,,Canisius,W,84,77,29,65,.446,8,31,.258,18,21,.857,11,35,16,6,2,10,19,,25,58,.431,7,22,.318,20,23,.870,7,29,14,4,2,11,20
22,22,2016-02-01,,Quinnipiac,L,59,64,22,61,.361,7,23,.304,8,11,.727,8,34,13,6,7,11,21,,19,56,.339,9,26,.346,17,24,.708,10,37,10,4,3,14,16
23,23,2016-02-05,@,Monmouth,L,67,91,23,61,.377,8,28,.286,13,20,.650,5,33,13,7,3,15,17,,32,65,.492,11,29,.379,16,22,.727,8,43,13,11,5,13,18
24,24,2016-02-07,,Manhattan,W,80,70,27,51,.529,6,15,.400,20,27,.741,15,44,18,4,4,23,21,,22,53,.415,8,27,.296,18,21,.857,5,18,13,8,3,14,22
25,25,2016-02-13,@,Quinnipiac,W (2 OT),84,80,30,72,.417,8,26,.308,16,23,.696,7,27,19,12,4,17,19,,32,74,.432,3,18,.167,13,19,.684,18,52,20,9,4,24,21
26,26,2016-02-15,,Marist,W,76,73,24,58,.414,13,28,.464,15,20,.750,4,28,12,4,4,11,20,,25,54,.463,8,19,.421,15,24,.625,4,32,15,4,4,13,20
27,27,2016-02-18,@,Canisius,W,74,71,24,48,.500,10,24,.417,16,21,.762,5,28,14,7,11,13,18,,27,63,.429,7,18,.389,10,15,.667,13,32,12,6,2,13,16
28,28,2016-02-20,@,Niagara,W,71,59,24,50,.480,10,18,.556,13,15,.867,4,24,17,7,7,11,15,,22,63,.349,5,24,.208,10,12,.833,17,38,11,5,3,12,17
29,29,2016-02-24,,Siena,W,76,69,26,60,.433,7,22,.318,17,28,.607,9,32,15,3,9,10,18,,25,71,.352,6,25,.240,13,21,.619,18,42,13,4,3,13,25
30,30,2016-02-27,@,St. Peter's,L,68,72,22,59,.373,8,21,.381,16,20,.800,10,28,15,3,1,9,17,,28,54,.519,5,13,.385,11,16,.688,10,36,11,5,3,14,16
31,31,2016-03-05,N,St. Peter's,W,64,55,24,58,.414,7,19,.368,9,10,.900,9,30,11,5,6,7,12,,23,57,.404,2,14,.143,7,11,.636,12,35,6,5,4,11,11
32,32,2016-03-06,N,Monmouth,L,63,76,21,59,.356,7,28,.250,14,20,.700,9,34,11,6,2,15,21,,28,63,.444,7,19,.368,13,25,.520,13,39,15,7,2,11,21